protein1,weight1,protein2,weight2
NTF3,NA,CSF1R,-2.05165169
NTF3,NA,EGFR,0.643740489
NTF3,NA,EPHA2,0.067132003
NTF3,NA,FGFR1,-0.015774318
NTF3,NA,FGFR2,2.204049045
NTF3,NA,FGFR3,1.019104537
NTF3,NA,FGFR4,-0.557650181
NTF3,NA,FLT1,1.434221911
NTF3,NA,FLT3,NA
NTF3,NA,FLT4,-0.198522555
NTF3,NA,IGF1R,0.344622854
NTF3,NA,INSR,1.392819227
NTF3,NA,KDR,-1.315089547
NTF3,NA,KIT,-1.127856621
NTF3,NA,MET,0.350709328
NTF3,NA,NGFR,2.02994455
NTF3,NA,NTRK1,0.185317797
NTF3,NA,NTRK2,1.856651425
NTF3,NA,PDGFRA,-0.430047797
NTF3,NA,PDGFRB,-0.714472727
NTF3,NA,TEK,-1.578838062
NTF4,0.604769843,CSF1R,-2.05165169
NTF4,0.604769843,EGFR,0.643740489
NTF4,0.604769843,EPHA2,0.067132003
NTF4,0.604769843,FGFR1,-0.015774318
NTF4,0.604769843,FGFR2,2.204049045
NTF4,0.604769843,FGFR3,1.019104537
NTF4,0.604769843,FGFR4,-0.557650181
NTF4,0.604769843,FLT1,1.434221911
NTF4,0.604769843,FLT3,NA
NTF4,0.604769843,FLT4,-0.198522555
NTF4,0.604769843,IGF1R,0.344622854
NTF4,0.604769843,INSR,1.392819227
NTF4,0.604769843,KDR,-1.315089547
NTF4,0.604769843,KIT,-1.127856621
NTF4,0.604769843,MET,0.350709328
NTF4,0.604769843,NGFR,2.02994455
NTF4,0.604769843,NTRK1,0.185317797
NTF4,0.604769843,NTRK2,1.856651425
NTF4,0.604769843,PDGFRA,-0.430047797
NTF4,0.604769843,PDGFRB,-0.714472727
NTF4,0.604769843,TEK,-1.578838062
NTRK1,0.185317797,SHC1,-0.559849835
NTRK1,0.185317797,SHC2,0.151662673
NTRK1,0.185317797,SHC3,NA
NTRK1,0.185317797,SHC4,1.266013859
NTRK2,1.856651425,SHC1,-0.559849835
NTRK2,1.856651425,SHC2,0.151662673
NTRK2,1.856651425,SHC3,NA
NTRK2,1.856651425,SHC4,1.266013859
PDGFA,0.48347967,CSF1R,-2.05165169
PDGFA,0.48347967,EGFR,0.643740489
PDGFA,0.48347967,EPHA2,0.067132003
PDGFA,0.48347967,FGFR1,-0.015774318
PDGFA,0.48347967,FGFR2,2.204049045
PDGFA,0.48347967,FGFR3,1.019104537
PDGFA,0.48347967,FGFR4,-0.557650181
PDGFA,0.48347967,FLT1,1.434221911
PDGFA,0.48347967,FLT3,NA
PDGFA,0.48347967,FLT4,-0.198522555
PDGFA,0.48347967,IGF1R,0.344622854
PDGFA,0.48347967,INSR,1.392819227
PDGFA,0.48347967,KDR,-1.315089547
PDGFA,0.48347967,KIT,-1.127856621
PDGFA,0.48347967,MET,0.350709328
PDGFA,0.48347967,NGFR,2.02994455
PDGFA,0.48347967,NTRK1,0.185317797
PDGFA,0.48347967,NTRK2,1.856651425
PDGFA,0.48347967,PDGFRA,-0.430047797
PDGFA,0.48347967,PDGFRB,-0.714472727
PDGFA,0.48347967,TEK,-1.578838062
PDGFB,0.957543491,CSF1R,-2.05165169
PDGFB,0.957543491,EGFR,0.643740489
PDGFB,0.957543491,EPHA2,0.067132003
PDGFB,0.957543491,FGFR1,-0.015774318
PDGFB,0.957543491,FGFR2,2.204049045
PDGFB,0.957543491,FGFR3,1.019104537
PDGFB,0.957543491,FGFR4,-0.557650181
PDGFB,0.957543491,FLT1,1.434221911
PDGFB,0.957543491,FLT3,NA
PDGFB,0.957543491,FLT4,-0.198522555
PDGFB,0.957543491,IGF1R,0.344622854
PDGFB,0.957543491,INSR,1.392819227
PDGFB,0.957543491,KDR,-1.315089547
PDGFB,0.957543491,KIT,-1.127856621
PDGFB,0.957543491,MET,0.350709328
PDGFB,0.957543491,NGFR,2.02994455
PDGFB,0.957543491,NTRK1,0.185317797
PDGFB,0.957543491,NTRK2,1.856651425
PDGFB,0.957543491,PDGFRA,-0.430047797
PDGFB,0.957543491,PDGFRB,-0.714472727
PDGFB,0.957543491,TEK,-1.578838062
PDGFC,-0.209607075,CSF1R,-2.05165169
PDGFC,-0.209607075,EGFR,0.643740489
PDGFC,-0.209607075,EPHA2,0.067132003
PDGFC,-0.209607075,FGFR1,-0.015774318
PDGFC,-0.209607075,FGFR2,2.204049045
PDGFC,-0.209607075,FGFR3,1.019104537
PDGFC,-0.209607075,FGFR4,-0.557650181
PDGFC,-0.209607075,FLT1,1.434221911
PDGFC,-0.209607075,FLT3,NA
PDGFC,-0.209607075,FLT4,-0.198522555
PDGFC,-0.209607075,IGF1R,0.344622854
PDGFC,-0.209607075,INSR,1.392819227
PDGFC,-0.209607075,KDR,-1.315089547
PDGFC,-0.209607075,KIT,-1.127856621
PDGFC,-0.209607075,MET,0.350709328
PDGFC,-0.209607075,NGFR,2.02994455
PDGFC,-0.209607075,NTRK1,0.185317797
PDGFC,-0.209607075,NTRK2,1.856651425
PDGFC,-0.209607075,PDGFRA,-0.430047797
PDGFC,-0.209607075,PDGFRB,-0.714472727
PDGFC,-0.209607075,TEK,-1.578838062
PDGFD,-1.771360203,CSF1R,-2.05165169
PDGFD,-1.771360203,EGFR,0.643740489
PDGFD,-1.771360203,EPHA2,0.067132003
PDGFD,-1.771360203,FGFR1,-0.015774318
PDGFD,-1.771360203,FGFR2,2.204049045
PDGFD,-1.771360203,FGFR3,1.019104537
PDGFD,-1.771360203,FGFR4,-0.557650181
PDGFD,-1.771360203,FLT1,1.434221911
PDGFD,-1.771360203,FLT3,NA
PDGFD,-1.771360203,FLT4,-0.198522555
PDGFD,-1.771360203,IGF1R,0.344622854
PDGFD,-1.771360203,INSR,1.392819227
PDGFD,-1.771360203,KDR,-1.315089547
PDGFD,-1.771360203,KIT,-1.127856621
PDGFD,-1.771360203,MET,0.350709328
PDGFD,-1.771360203,NGFR,2.02994455
PDGFD,-1.771360203,NTRK1,0.185317797
PDGFD,-1.771360203,NTRK2,1.856651425
PDGFD,-1.771360203,PDGFRA,-0.430047797
PDGFD,-1.771360203,PDGFRB,-0.714472727
PDGFD,-1.771360203,TEK,-1.578838062
PDGFRA,-0.430047797,SHC1,-0.559849835
PDGFRA,-0.430047797,SHC2,0.151662673
PDGFRA,-0.430047797,SHC3,NA
PDGFRA,-0.430047797,SHC4,1.266013859
PDGFRB,-0.714472727,SHC1,-0.559849835
PDGFRB,-0.714472727,SHC2,0.151662673
PDGFRB,-0.714472727,SHC3,NA
PDGFRB,-0.714472727,SHC4,1.266013859
PGF,0.339089451,CSF1R,-2.05165169
PGF,0.339089451,EGFR,0.643740489
PGF,0.339089451,EPHA2,0.067132003
PGF,0.339089451,FGFR1,-0.015774318
PGF,0.339089451,FGFR2,2.204049045
PGF,0.339089451,FGFR3,1.019104537
PGF,0.339089451,FGFR4,-0.557650181
PGF,0.339089451,FLT1,1.434221911
PGF,0.339089451,FLT3,NA
PGF,0.339089451,FLT4,-0.198522555
PGF,0.339089451,IGF1R,0.344622854
PGF,0.339089451,INSR,1.392819227
PGF,0.339089451,KDR,-1.315089547
PGF,0.339089451,KIT,-1.127856621
PGF,0.339089451,MET,0.350709328
PGF,0.339089451,NGFR,2.02994455
PGF,0.339089451,NTRK1,0.185317797
PGF,0.339089451,NTRK2,1.856651425
PGF,0.339089451,PDGFRA,-0.430047797
PGF,0.339089451,PDGFRB,-0.714472727
PGF,0.339089451,TEK,-1.578838062
PIK3CA,-0.22837288,RAC1,-0.2798554
PIK3CA,-0.22837288,RAC2,0.312332094
PIK3CA,-0.22837288,RAC3,NA
PIK3CB,-0.480031588,RAC1,-0.2798554
PIK3CB,-0.480031588,RAC2,0.312332094
PIK3CB,-0.480031588,RAC3,NA
PIK3CD,1.780892457,RAC1,-0.2798554
PIK3CD,1.780892457,RAC2,0.312332094
PIK3CD,1.780892457,RAC3,NA
PIK3R1,-0.926754402,RAC1,-0.2798554
PIK3R1,-0.926754402,RAC2,0.312332094
PIK3R1,-0.926754402,RAC3,NA
PIK3R2,0.594173286,RAC1,-0.2798554
PIK3R2,0.594173286,RAC2,0.312332094
PIK3R2,0.594173286,RAC3,NA
PIK3R3,-1.356576978,RAC1,-0.2798554
PIK3R3,-1.356576978,RAC2,0.312332094
PIK3R3,-1.356576978,RAC3,NA
PRKACA,-0.096433937,RASGRF1,-0.117364431
PRKACA,-0.096433937,RASGRF2,-1.690754937
PRKACB,-0.355343189,RASGRF1,-0.117364431
PRKACB,-0.355343189,RASGRF2,-1.690754937
PRKACG,NA,RASGRF1,-0.117364431
PRKACG,NA,RASGRF2,-1.690754937
RAC1,-0.2798554,BUB1B-PAK6,NA
RAC1,-0.2798554,PAK1,-0.101601247
RAC1,-0.2798554,PAK2,0.102785771
RAC1,-0.2798554,PAK3,0.224656536
RAC1,-0.2798554,PAK4,0.130584769
RAC1,-0.2798554,PAK5,0
RAC1,-0.2798554,PAK6,NA
RAC1,-0.2798554,RHOA,0.1002315
RAC2,0.312332094,BUB1B-PAK6,NA
RAC2,0.312332094,PAK1,-0.101601247
RAC2,0.312332094,PAK2,0.102785771
RAC2,0.312332094,PAK3,0.224656536
RAC2,0.312332094,PAK4,0.130584769
RAC2,0.312332094,PAK5,0
RAC2,0.312332094,PAK6,NA
RAC2,0.312332094,RHOA,0.1002315
RAC3,NA,BUB1B-PAK6,NA
RAC3,NA,PAK1,-0.101601247
RAC3,NA,PAK2,0.102785771
RAC3,NA,PAK3,0.224656536
RAC3,NA,PAK4,0.130584769
RAC3,NA,PAK5,0
RAC3,NA,PAK6,NA
RAC3,NA,RHOA,0.1002315
RAF1,0.06969736,MAP2K1,NA
RAF1,0.06969736,MAP2K2,NA
RALA,-0.174799432,EXOC2,-0.055004217
RALA,-0.174799432,MAPK10,NA
RALA,-0.174799432,MAPK8,-0.219949714
RALA,-0.174799432,MAPK9,-0.117360106
RALA,-0.174799432,PLD1,-0.260418848
RALA,-0.174799432,PLD2,0.473068488
RALA,-0.174799432,RALBP1,0.22739864
RALB,0.086568624,EXOC2,-0.055004217
RALB,0.086568624,MAPK10,NA
RALB,0.086568624,MAPK8,-0.219949714
RALB,0.086568624,MAPK9,-0.117360106
RALB,0.086568624,PLD1,-0.260418848
RALB,0.086568624,PLD2,0.473068488
RALB,0.086568624,RALBP1,0.22739864
RALBP1,0.22739864,ARF6,0.005730668
RALBP1,0.22739864,CDC42,-0.22523295
